Date,Close/Last,Volume,Open,High,Low
08/21/2025,$224.90,30621250,$226.27,$226.52,$223.78
08/20/2025,$226.01,42263870,$229.98,$230.47,$225.77
08/19/2025,$230.56,39402560,$231.28,$232.87,$229.35
08/18/2025,$230.89,37476190,$231.70,$233.12,$230.11
08/15/2025,$231.59,56038660,$234.00,$234.28,$229.34
08/14/2025,$232.78,51916280,$234.06,$235.12,$230.85
08/13/2025,$233.33,69878550,$231.07,$235.00,$230.43
08/12/2025,$229.65,55672300,$228.01,$230.80,$227.07
08/11/2025,$227.18,61806130,$227.92,$229.56,$224.76
08/08/2025,$229.35,113854000,$220.83,$231.00,$219.25
08/07/2025,$220.03,90224830,$218.88,$220.85,$216.58
08/06/2025,$213.25,108483100,$205.63,$215.38,$205.59
08/05/2025,$202.92,44155080,$203.40,$205.34,$202.16
08/04/2025,$203.35,75109300,$204.51,$207.88,$201.68
08/01/2025,$202.38,104434500,$210.87,$213.58,$201.50
07/31/2025,$207.57,80698430,$208.49,$209.84,$207.16
07/30/2025,$209.05,45512510,$211.90,$212.39,$207.72
07/29/2025,$211.27,51411720,$214.18,$214.81,$210.82
07/28/2025,$214.05,37858020,$214.03,$214.85,$213.06
07/25/2025,$213.88,40268780,$214.70,$215.24,$213.40
07/24/2025,$213.76,46022620,$213.90,$215.69,$213.53
07/23/2025,$214.15,46989300,$215.00,$215.15,$212.41
07/22/2025,$214.40,46404070,$213.14,$214.95,$212.23
